# Historical benchmark execution records
# Machine names, usernames, private paths, and scheduler-specific wrapper records were removed.
# These identifiers link archived outputs; they are not required to run the portable software.

# Python
Python 3.11.14

# Benchmark jobs
JobID|JobName|State|ExitCode|Elapsed|MaxRSS
50655148|guacamol_10seed_stats|COMPLETED|0:0|00:21:48|
50655149|guacamol_10seed_stats|COMPLETED|0:0|00:30:00|
50655150|guacamol_10seed_stats|COMPLETED|0:0|00:38:28|
50655151|guacamol_10seed_stats|COMPLETED|0:0|01:00:29|
50655152|guacamol_10seed_stats|COMPLETED|0:0|00:42:27|
50655153|guacamol_10seed_stats|COMPLETED|0:0|00:40:50|
50655154|guacamol_10seed_stats|COMPLETED|0:0|00:35:03|
50655155|guacamol_10seed_stats|COMPLETED|0:0|00:32:00|
50655156|guacamol_10seed_stats|COMPLETED|0:0|00:33:24|
50655157|guacamol_10seed_stats|COMPLETED|0:0|00:39:42|
50655158|guacamol_10seed_stats|COMPLETED|0:0|00:38:26|
50655159|guacamol_10seed_stats|COMPLETED|0:0|00:45:45|
50655160|guacamol_10seed_stats|COMPLETED|0:0|00:47:50|
50655161|guacamol_10seed_stats|COMPLETED|0:0|00:48:14|
50655567|guacamol_10seed_stats|COMPLETED|0:0|01:23:02|
50655646|guacamol_10seed_stats|COMPLETED|0:0|00:29:19|
50655654|guacamol_10seed_stats|COMPLETED|0:0|00:34:23|
50655805|guacamol_10seed_stats|COMPLETED|0:0|00:36:29|
50655819|guacamol_10seed_stats|COMPLETED|0:0|00:25:16|
50655846|guacamol_10seed_stats|COMPLETED|0:0|00:31:25|
50655851|guacamol_10seed_stats|COMPLETED|0:0|00:17:05|
50655876|guacamol_10seed_stats|COMPLETED|0:0|00:22:04|
50655890|guacamol_10seed_stats|COMPLETED|0:0|00:33:13|
50655893|guacamol_10seed_stats|COMPLETED|0:0|00:45:17|
50655906|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:22|
50655913|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:29|
50655917|guacamol_10seed_stats|COMPLETED|0:0|00:31:56|
50655941|guacamol_10seed_stats|COMPLETED|0:0|00:30:49|
50655942|guacamol_10seed_stats|COMPLETED|0:0|00:31:41|
50655943|guacamol_10seed_stats|COMPLETED|0:0|00:40:25|
50655944|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:16|
50655984|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:16|
50655990|guacamol_10seed_stats|COMPLETED|0:0|00:41:50|
50655992|guacamol_10seed_stats|COMPLETED|0:0|00:42:44|
50656014|guacamol_10seed_stats|COMPLETED|0:0|01:19:21|
50656026|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:00|
50656027|guacamol_10seed_stats|COMPLETED|0:0|00:36:47|
50656034|guacamol_10seed_stats|COMPLETED|0:0|00:29:48|
50656054|guacamol_10seed_stats|COMPLETED|0:0|00:24:31|
50656066|guacamol_10seed_stats|COMPLETED|0:0|00:28:38|
50656081|guacamol_10seed_stats|COMPLETED|0:0|00:16:38|
50656090|guacamol_10seed_stats|COMPLETED|0:0|00:24:44|
50656099|guacamol_10seed_stats|COMPLETED|0:0|00:31:21|
50656107|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:18|
50656115|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:11|
50656116|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:08|
50656144|guacamol_10seed_stats|COMPLETED|0:0|00:39:29|
50656146|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:06|
50656152|guacamol_10seed_stats|COMPLETED|0:0|00:36:09|
50656162|guacamol_10seed_stats|COMPLETED|0:0|01:21:28|
50656171|guacamol_10seed_stats|COMPLETED|0:0|00:32:10|
50656180|guacamol_10seed_stats|COMPLETED|0:0|01:14:07|
50656185|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:18|
50656220|guacamol_10seed_stats|COMPLETED|0:0|00:44:54|
50656251|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:08|
50656258|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:25|
50656288|guacamol_10seed_stats|COMPLETED|0:0|00:42:32|
50656318|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:29|
50656326|guacamol_10seed_stats|COMPLETED|0:0|00:28:25|
50656377|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:02|
50656418|guacamol_10seed_stats|COMPLETED|0:0|00:41:27|
50656420|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:08|
50656427|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:05|
50656429|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:28|
50656430|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:24|
50656451|guacamol_10seed_stats|COMPLETED|0:0|01:21:54|
50656452|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:13|
50656476|guacamol_10seed_stats|COMPLETED|0:0|00:33:37|
50656479|guacamol_10seed_stats|COMPLETED|0:0|00:33:32|
50656531|guacamol_10seed_stats|COMPLETED|0:0|00:37:17|
50656535|guacamol_10seed_stats|COMPLETED|0:0|00:36:33|
50656538|guacamol_10seed_stats|COMPLETED|0:0|00:38:29|
50656574|guacamol_10seed_stats|COMPLETED|0:0|00:52:34|
50656585|guacamol_10seed_stats|COMPLETED|0:0|00:53:53|
50656609|guacamol_10seed_stats|COMPLETED|0:0|00:37:47|
50656620|guacamol_10seed_stats|COMPLETED|0:0|00:38:18|
50656708|guacamol_10seed_stats|COMPLETED|0:0|00:43:34|
50656744|guacamol_10seed_stats|COMPLETED|0:0|00:37:07|
50656764|guacamol_10seed_stats|COMPLETED|0:0|01:36:41|
50656883|guacamol_10seed_stats|COMPLETED|0:0|00:25:58|
50656894|guacamol_10seed_stats|COMPLETED|0:0|00:49:20|
50656900|guacamol_10seed_stats|COMPLETED|0:0|00:27:01|
50656916|guacamol_10seed_stats|COMPLETED|0:0|01:20:07|
50656965|guacamol_10seed_stats|COMPLETED|0:0|01:45:32|
50656969|guacamol_10seed_stats|COMPLETED|0:0|00:38:05|
50657006|guacamol_10seed_stats|COMPLETED|0:0|01:31:31|
50657067|guacamol_10seed_stats|COMPLETED|0:0|00:35:38|
50657073|guacamol_10seed_stats|COMPLETED|0:0|00:31:52|
50657087|guacamol_10seed_stats|COMPLETED|0:0|00:37:30|
50657117|guacamol_10seed_stats|COMPLETED|0:0|01:29:15|
50657118|guacamol_10seed_stats|COMPLETED|0:0|00:33:17|
50657181|guacamol_10seed_stats|COMPLETED|0:0|00:36:17|
50657234|guacamol_10seed_stats|COMPLETED|0:0|00:43:33|
50657243|guacamol_10seed_stats|COMPLETED|0:0|00:52:06|
50657247|guacamol_10seed_stats|COMPLETED|0:0|01:18:36|
50657264|guacamol_10seed_stats|COMPLETED|0:0|00:33:48|
50657622|guacamol_10seed_stats|COMPLETED|0:0|00:39:57|
50657652|guacamol_10seed_stats|COMPLETED|0:0|00:31:48|
50657657|guacamol_10seed_stats|COMPLETED|0:0|01:05:04|
50657699|guacamol_10seed_stats|COMPLETED|0:0|00:35:45|
50657908|guacamol_10seed_stats|COMPLETED|0:0|00:43:10|
50657951|guacamol_10seed_stats|COMPLETED|0:0|00:30:05|
50658018|guacamol_10seed_stats|COMPLETED|0:0|00:34:07|
50658021|guacamol_10seed_stats|COMPLETED|0:0|01:32:11|
50658026|guacamol_10seed_stats|COMPLETED|0:0|01:26:56|
50658054|guacamol_10seed_stats|COMPLETED|0:0|00:50:58|
50658076|guacamol_10seed_stats|COMPLETED|0:0|00:34:42|
50658176|guacamol_10seed_stats|COMPLETED|0:0|00:33:29|
50659121|guacamol_10seed_stats|COMPLETED|0:0|00:35:08|
50659150|guacamol_10seed_stats|COMPLETED|0:0|00:42:09|
50659209|guacamol_10seed_stats|COMPLETED|0:0|00:44:35|
50659218|guacamol_10seed_stats|COMPLETED|0:0|00:39:05|
50659236|guacamol_10seed_stats|COMPLETED|0:0|00:41:51|
50659297|guacamol_10seed_stats|COMPLETED|0:0|00:53:43|
50659315|guacamol_10seed_stats|COMPLETED|0:0|00:39:36|
50659399|guacamol_10seed_stats|COMPLETED|0:0|01:12:46|
50659413|guacamol_10seed_stats|COMPLETED|0:0|00:42:16|
50659456|guacamol_10seed_stats|COMPLETED|0:0|00:34:21|
50659465|guacamol_10seed_stats|COMPLETED|0:0|00:30:10|
50659557|guacamol_10seed_stats|COMPLETED|0:0|00:29:57|
50659672|guacamol_10seed_stats|COMPLETED|0:0|00:23:29|
50659865|guacamol_10seed_stats|COMPLETED|0:0|00:25:13|
50659963|guacamol_10seed_stats|COMPLETED|0:0|01:23:13|
50660640|guacamol_10seed_stats|COMPLETED|0:0|02:01:34|
50660679|guacamol_10seed_stats|COMPLETED|0:0|00:42:11|
50660682|guacamol_10seed_stats|COMPLETED|0:0|01:13:58|
50660703|guacamol_10seed_stats|COMPLETED|0:0|00:27:55|
50660741|guacamol_10seed_stats|COMPLETED|0:0|00:34:31|
50660746|guacamol_10seed_stats|COMPLETED|0:0|01:13:18|
50660772|guacamol_10seed_stats|COMPLETED|0:0|01:32:09|
50660812|guacamol_10seed_stats|COMPLETED|0:0|00:33:56|
50660813|guacamol_10seed_stats|COMPLETED|0:0|00:37:24|
50660840|guacamol_10seed_stats|COMPLETED|0:0|00:47:26|
50660899|guacamol_10seed_stats|COMPLETED|0:0|00:55:42|
50660900|guacamol_10seed_stats|COMPLETED|0:0|00:39:12|
50660920|guacamol_10seed_stats|COMPLETED|0:0|00:38:00|
50660957|guacamol_10seed_stats|COMPLETED|0:0|00:38:52|
50660971|guacamol_10seed_stats|COMPLETED|0:0|00:35:35|
50661021|guacamol_10seed_stats|COMPLETED|0:0|01:13:26|
50661060|guacamol_10seed_stats|COMPLETED|0:0|00:35:18|
50661117|guacamol_10seed_stats|COMPLETED|0:0|00:27:25|
50661200|guacamol_10seed_stats|COMPLETED|0:0|00:56:31|
50661288|guacamol_10seed_stats|COMPLETED|0:0|01:19:50|
50661291|guacamol_10seed_stats|COMPLETED|0:0|00:43:33|
50661406|guacamol_10seed_stats|COMPLETED|0:0|00:42:54|
50661409|guacamol_10seed_stats|COMPLETED|0:0|00:45:08|
50661485|guacamol_10seed_stats|COMPLETED|0:0|00:34:19|
50661862|guacamol_10seed_stats|COMPLETED|0:0|01:03:12|
50661890|guacamol_10seed_stats|COMPLETED|0:0|00:36:29|
50661892|guacamol_10seed_stats|COMPLETED|0:0|00:40:50|
50661916|guacamol_10seed_stats|COMPLETED|0:0|00:38:30|
50661943|guacamol_10seed_stats|COMPLETED|0:0|00:29:29|
50661998|guacamol_10seed_stats|COMPLETED|0:0|00:38:02|
50662068|guacamol_10seed_stats|COMPLETED|0:0|00:39:14|
50662151|guacamol_10seed_stats|COMPLETED|0:0|00:32:39|
50662229|guacamol_10seed_stats|COMPLETED|0:0|00:34:16|
50662451|guacamol_10seed_stats|COMPLETED|0:0|01:45:56|
50662517|guacamol_10seed_stats|COMPLETED|0:0|01:18:26|
50662543|guacamol_10seed_stats|COMPLETED|0:0|00:54:53|
50662610|guacamol_10seed_stats|COMPLETED|0:0|00:28:42|
50662634|guacamol_10seed_stats|COMPLETED|0:0|00:19:41|
50662687|guacamol_10seed_stats|COMPLETED|0:0|00:22:33|
50662688|guacamol_10seed_stats|COMPLETED|0:0|00:31:45|
50662730|guacamol_10seed_stats|COMPLETED|0:0|00:36:20|
50662773|guacamol_10seed_stats|COMPLETED|0:0|00:32:35|
50662803|guacamol_10seed_stats|COMPLETED|0:0|01:16:22|
50662844|guacamol_10seed_stats|COMPLETED|0:0|00:31:11|
50662879|guacamol_10seed_stats|COMPLETED|0:0|00:29:22|
50662885|guacamol_10seed_stats|COMPLETED|0:0|00:31:38|
50662890|guacamol_10seed_stats|COMPLETED|0:0|00:34:18|
50662916|guacamol_10seed_stats|COMPLETED|0:0|01:23:17|
50662950|guacamol_10seed_stats|COMPLETED|0:0|00:31:37|
50662955|guacamol_10seed_stats|COMPLETED|0:0|01:28:59|
50655121|guacamol_10seed_stats|COMPLETED|0:0|00:40:19|
50655307|saturn_theta_nsga2|COMPLETED|0:0|00:49:49|
50655308|saturn_theta_nsga2|COMPLETED|0:0|00:52:05|
50655309|saturn_theta_nsga2|COMPLETED|0:0|00:47:47|
50655310|saturn_theta_nsga2|COMPLETED|0:0|00:50:38|
50655311|saturn_theta_nsga2|COMPLETED|0:0|00:55:26|
50655312|saturn_theta_nsga2|COMPLETED|0:0|00:49:03|
50655313|saturn_theta_nsga2|COMPLETED|0:0|00:51:01|
50655314|saturn_theta_nsga2|COMPLETED|0:0|00:55:18|
50655315|saturn_theta_nsga2|COMPLETED|0:0|00:49:43|
50655300|saturn_theta_nsga2|COMPLETED|0:0|00:52:05|
50811605|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811606|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811607|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811608|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811609|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811610|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811611|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811612|guacamol_10seed_stats|COMPLETED|0:0|00:00:02|
50811613|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811614|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811615|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811616|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811617|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811618|guacamol_10seed_stats|COMPLETED|0:0|00:00:02|
50811619|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811620|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811621|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811622|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811604|guacamol_10seed_stats|COMPLETED|0:0|00:00:03|
50811650|guacamol_10seed_stats|COMPLETED|0:0|00:35:14|
50811651|guacamol_10seed_stats|COMPLETED|0:0|00:32:58|
50811652|guacamol_10seed_stats|COMPLETED|0:0|00:30:19|
50811653|guacamol_10seed_stats|COMPLETED|0:0|00:33:35|
50811654|guacamol_10seed_stats|COMPLETED|0:0|00:35:26|
50811655|guacamol_10seed_stats|COMPLETED|0:0|00:48:19|
50811656|guacamol_10seed_stats|COMPLETED|0:0|00:35:02|
50811657|guacamol_10seed_stats|COMPLETED|0:0|00:48:51|
50811658|guacamol_10seed_stats|COMPLETED|0:0|00:35:38|
50811659|guacamol_10seed_stats|COMPLETED|0:0|00:52:37|
50811660|guacamol_10seed_stats|COMPLETED|0:0|00:45:45|
50811661|guacamol_10seed_stats|COMPLETED|0:0|00:29:49|
50811662|guacamol_10seed_stats|COMPLETED|0:0|00:39:44|
50811663|guacamol_10seed_stats|COMPLETED|0:0|00:33:00|
50811664|guacamol_10seed_stats|COMPLETED|0:0|00:30:54|
50811665|guacamol_10seed_stats|COMPLETED|0:0|00:35:13|
50811666|guacamol_10seed_stats|COMPLETED|0:0|00:58:23|
50811667|guacamol_10seed_stats|COMPLETED|0:0|00:31:43|
50811649|guacamol_10seed_stats|COMPLETED|0:0|00:45:50|
50811736|guac_agg_50811649|COMPLETED|0:0|00:00:03|
50814157|guac_top200_pkg|RUNNING|0:0|00:01:17|
