# IBEX provenance
2026-08-24T12:03:08+03:00
login510-22
colleoe

# Python
Python 3.11.14

# Key Python modules

# Slurm jobs
JobIDRaw|JobName|State|ExitCode|Elapsed|MaxRSS
50655133|guacamol_10seed_stats|COMPLETED|0:0|00:38:10|
50655133.batch|batch|COMPLETED|0:0|00:38:10|2009736K
50655133.extern|extern|COMPLETED|0:0|00:38:10|
50655134|guacamol_10seed_stats|COMPLETED|0:0|00:36:02|
50655134.batch|batch|COMPLETED|0:0|00:36:02|1923920K
50655134.extern|extern|COMPLETED|0:0|00:36:02|
50655135|guacamol_10seed_stats|COMPLETED|0:0|00:32:20|
50655135.batch|batch|COMPLETED|0:0|00:32:20|1860712K
50655135.extern|extern|COMPLETED|0:0|00:32:20|
50655136|guacamol_10seed_stats|COMPLETED|0:0|00:36:10|
50655136.batch|batch|COMPLETED|0:0|00:36:10|2236772K
50655136.extern|extern|COMPLETED|0:0|00:36:10|
50655137|guacamol_10seed_stats|COMPLETED|0:0|00:40:27|
50655137.batch|batch|COMPLETED|0:0|00:40:27|2183124K
50655137.extern|extern|COMPLETED|0:0|00:40:27|
50655138|guacamol_10seed_stats|COMPLETED|0:0|00:40:26|
50655138.batch|batch|COMPLETED|0:0|00:40:26|1705284K
50655138.extern|extern|COMPLETED|0:0|00:40:26|
50655139|guacamol_10seed_stats|COMPLETED|0:0|00:41:46|
50655139.batch|batch|COMPLETED|0:0|00:41:46|2105416K
50655139.extern|extern|COMPLETED|0:0|00:41:46|
50655140|guacamol_10seed_stats|COMPLETED|0:0|00:47:41|
50655140.batch|batch|COMPLETED|0:0|00:47:41|1775152K
50655140.extern|extern|COMPLETED|0:0|00:47:41|
50655141|guacamol_10seed_stats|COMPLETED|0:0|00:50:20|
50655141.batch|batch|COMPLETED|0:0|00:50:20|1846148K
50655141.extern|extern|COMPLETED|0:0|00:50:20|
50655142|guacamol_10seed_stats|COMPLETED|0:0|00:45:47|
50655142.batch|batch|COMPLETED|0:0|00:45:47|1742976K
50655142.extern|extern|COMPLETED|0:0|00:45:48|
50655143|guacamol_10seed_stats|COMPLETED|0:0|00:34:58|
50655143.batch|batch|COMPLETED|0:0|00:34:58|2439316K
50655143.extern|extern|COMPLETED|0:0|00:34:58|
50655144|guacamol_10seed_stats|COMPLETED|0:0|00:52:47|
50655144.batch|batch|COMPLETED|0:0|00:52:47|1094380K
50655144.extern|extern|COMPLETED|0:0|00:52:47|
50655145|guacamol_10seed_stats|COMPLETED|0:0|00:43:30|
50655145.batch|batch|COMPLETED|0:0|00:43:30|1644852K
50655145.extern|extern|COMPLETED|0:0|00:43:31|
50655146|guacamol_10seed_stats|COMPLETED|0:0|01:39:46|
50655146.batch|batch|COMPLETED|0:0|01:39:46|1877252K
50655146.extern|extern|COMPLETED|0:0|01:39:47|
50655147|guacamol_10seed_stats|COMPLETED|0:0|00:34:05|
50655147.batch|batch|COMPLETED|0:0|00:34:05|1593296K
50655147.extern|extern|COMPLETED|0:0|00:34:05|
50655148|guacamol_10seed_stats|COMPLETED|0:0|00:21:48|
50655148.batch|batch|COMPLETED|0:0|00:21:48|1203160K
50655148.extern|extern|COMPLETED|0:0|00:21:48|
50655149|guacamol_10seed_stats|COMPLETED|0:0|00:30:00|
50655149.batch|batch|COMPLETED|0:0|00:30:00|1224452K
50655149.extern|extern|COMPLETED|0:0|00:30:00|
50655150|guacamol_10seed_stats|COMPLETED|0:0|00:38:28|
50655150.batch|batch|COMPLETED|0:0|00:38:28|1368632K
50655150.extern|extern|COMPLETED|0:0|00:38:28|
50655151|guacamol_10seed_stats|COMPLETED|0:0|01:00:29|
50655151.batch|batch|COMPLETED|0:0|01:00:29|1384624K
50655151.extern|extern|COMPLETED|0:0|01:00:29|
50655152|guacamol_10seed_stats|COMPLETED|0:0|00:42:27|
50655152.batch|batch|COMPLETED|0:0|00:42:27|2225112K
50655152.extern|extern|COMPLETED|0:0|00:42:27|
50655153|guacamol_10seed_stats|COMPLETED|0:0|00:40:50|
50655153.batch|batch|COMPLETED|0:0|00:40:50|1593532K
50655153.extern|extern|COMPLETED|0:0|00:40:50|
50655154|guacamol_10seed_stats|COMPLETED|0:0|00:35:03|
50655154.batch|batch|COMPLETED|0:0|00:35:03|2181100K
50655154.extern|extern|COMPLETED|0:0|00:35:03|
50655155|guacamol_10seed_stats|COMPLETED|0:0|00:32:00|
50655155.batch|batch|COMPLETED|0:0|00:32:00|1987888K
50655155.extern|extern|COMPLETED|0:0|00:32:00|
50655156|guacamol_10seed_stats|COMPLETED|0:0|00:33:24|
50655156.batch|batch|COMPLETED|0:0|00:33:24|1942476K
50655156.extern|extern|COMPLETED|0:0|00:33:24|
50655157|guacamol_10seed_stats|COMPLETED|0:0|00:39:42|
50655157.batch|batch|COMPLETED|0:0|00:39:42|2811328K
50655157.extern|extern|COMPLETED|0:0|00:39:42|
50655158|guacamol_10seed_stats|COMPLETED|0:0|00:38:26|
50655158.batch|batch|COMPLETED|0:0|00:38:26|1996272K
50655158.extern|extern|COMPLETED|0:0|00:38:26|
50655159|guacamol_10seed_stats|COMPLETED|0:0|00:45:45|
50655159.batch|batch|COMPLETED|0:0|00:45:45|3733496K
50655159.extern|extern|COMPLETED|0:0|00:45:45|
50655160|guacamol_10seed_stats|COMPLETED|0:0|00:47:50|
50655160.batch|batch|COMPLETED|0:0|00:47:50|3435504K
50655160.extern|extern|COMPLETED|0:0|00:47:50|
50655161|guacamol_10seed_stats|COMPLETED|0:0|00:48:14|
50655161.batch|batch|COMPLETED|0:0|00:48:14|1029064K
50655161.extern|extern|COMPLETED|0:0|00:48:14|
50655567|guacamol_10seed_stats|COMPLETED|0:0|01:23:02|
50655567.batch|batch|COMPLETED|0:0|01:23:02|3330992K
50655567.extern|extern|COMPLETED|0:0|01:23:02|
50655646|guacamol_10seed_stats|COMPLETED|0:0|00:29:19|
50655646.batch|batch|COMPLETED|0:0|00:29:19|3342840K
50655646.extern|extern|COMPLETED|0:0|00:29:19|
50655654|guacamol_10seed_stats|COMPLETED|0:0|00:34:23|
50655654.batch|batch|COMPLETED|0:0|00:34:23|888088K
50655654.extern|extern|COMPLETED|0:0|00:34:23|
50655805|guacamol_10seed_stats|COMPLETED|0:0|00:36:29|
50655805.batch|batch|COMPLETED|0:0|00:36:29|885380K
50655805.extern|extern|COMPLETED|0:0|00:36:29|
50655819|guacamol_10seed_stats|COMPLETED|0:0|00:25:16|
50655819.batch|batch|COMPLETED|0:0|00:25:16|902072K
50655819.extern|extern|COMPLETED|0:0|00:25:16|
50655846|guacamol_10seed_stats|COMPLETED|0:0|00:31:25|
50655846.batch|batch|COMPLETED|0:0|00:31:25|1124060K
50655846.extern|extern|COMPLETED|0:0|00:31:25|
50655851|guacamol_10seed_stats|COMPLETED|0:0|00:17:05|
50655851.batch|batch|COMPLETED|0:0|00:17:05|980808K
50655851.extern|extern|COMPLETED|0:0|00:17:05|
50655876|guacamol_10seed_stats|COMPLETED|0:0|00:22:04|
50655876.batch|batch|COMPLETED|0:0|00:22:04|851496K
50655876.extern|extern|COMPLETED|0:0|00:22:04|
50655890|guacamol_10seed_stats|COMPLETED|0:0|00:33:13|
50655890.batch|batch|COMPLETED|0:0|00:33:13|963092K
50655890.extern|extern|COMPLETED|0:0|00:33:13|
50655893|guacamol_10seed_stats|COMPLETED|0:0|00:45:17|
50655893.batch|batch|COMPLETED|0:0|00:45:17|968136K
50655893.extern|extern|COMPLETED|0:0|00:45:17|
50655906|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:22|
50655906.batch|batch|CANCELLED|0:15|1-01:06:52|989940K
50655906.extern|extern|COMPLETED|0:0|1-01:00:51|
50655913|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:29|
50655913.batch|batch|CANCELLED|0:15|1-01:06:59|1322884K
50655913.extern|extern|COMPLETED|0:0|1-01:00:58|
50655917|guacamol_10seed_stats|COMPLETED|0:0|00:31:56|
50655917.batch|batch|COMPLETED|0:0|00:31:56|1308756K
50655917.extern|extern|COMPLETED|0:0|00:31:56|
50655941|guacamol_10seed_stats|COMPLETED|0:0|00:30:49|
50655941.batch|batch|COMPLETED|0:0|00:30:49|1380968K
50655941.extern|extern|COMPLETED|0:0|00:30:49|
50655942|guacamol_10seed_stats|COMPLETED|0:0|00:31:41|
50655942.batch|batch|COMPLETED|0:0|00:31:41|1324456K
50655942.extern|extern|COMPLETED|0:0|00:31:41|
50655943|guacamol_10seed_stats|COMPLETED|0:0|00:40:25|
50655943.batch|batch|COMPLETED|0:0|00:40:25|1364156K
50655943.extern|extern|COMPLETED|0:0|00:40:25|
50655944|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:16|
50655944.batch|batch|CANCELLED|0:15|1-01:06:46|790924K
50655944.extern|extern|COMPLETED|0:0|1-01:00:45|
50655984|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:16|
50655984.batch|batch|CANCELLED|0:15|1-01:06:46|956048K
50655984.extern|extern|COMPLETED|0:0|1-01:00:45|
50655990|guacamol_10seed_stats|COMPLETED|0:0|00:41:50|
50655990.batch|batch|COMPLETED|0:0|00:41:50|1965240K
50655990.extern|extern|COMPLETED|0:0|00:41:50|
50655992|guacamol_10seed_stats|COMPLETED|0:0|00:42:44|
50655992.batch|batch|COMPLETED|0:0|00:42:44|1021600K
50655992.extern|extern|COMPLETED|0:0|00:42:44|
50656014|guacamol_10seed_stats|COMPLETED|0:0|01:19:21|
50656014.batch|batch|COMPLETED|0:0|01:19:21|861924K
50656014.extern|extern|COMPLETED|0:0|01:19:21|
50656026|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:00|
50656026.batch|batch|CANCELLED|0:15|1-01:06:30|791992K
50656026.extern|extern|COMPLETED|0:0|1-01:00:29|
50656027|guacamol_10seed_stats|COMPLETED|0:0|00:36:47|
50656027.batch|batch|COMPLETED|0:0|00:36:47|972848K
50656027.extern|extern|COMPLETED|0:0|00:36:47|
50656034|guacamol_10seed_stats|COMPLETED|0:0|00:29:48|
50656034.batch|batch|COMPLETED|0:0|00:29:48|3061236K
50656034.extern|extern|COMPLETED|0:0|00:29:48|
50656054|guacamol_10seed_stats|COMPLETED|0:0|00:24:31|
50656054.batch|batch|COMPLETED|0:0|00:24:31|902060K
50656054.extern|extern|COMPLETED|0:0|00:24:31|
50656066|guacamol_10seed_stats|COMPLETED|0:0|00:28:38|
50656066.batch|batch|COMPLETED|0:0|00:28:38|902312K
50656066.extern|extern|COMPLETED|0:0|00:28:38|
50656081|guacamol_10seed_stats|COMPLETED|0:0|00:16:38|
50656081.batch|batch|COMPLETED|0:0|00:16:38|833164K
50656081.extern|extern|COMPLETED|0:0|00:16:38|
50656090|guacamol_10seed_stats|COMPLETED|0:0|00:24:44|
50656090.batch|batch|COMPLETED|0:0|00:24:44|891872K
50656090.extern|extern|COMPLETED|0:0|00:24:44|
50656099|guacamol_10seed_stats|COMPLETED|0:0|00:31:21|
50656099.batch|batch|COMPLETED|0:0|00:31:21|963648K
50656099.extern|extern|COMPLETED|0:0|00:31:21|
50656107|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:18|
50656107.batch|batch|CANCELLED|0:15|1-01:06:48|777428K
50656107.extern|extern|COMPLETED|0:0|1-01:00:47|
50656115|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:11|
50656115.batch|batch|CANCELLED|0:15|1-01:06:41|997752K
50656115.extern|extern|COMPLETED|0:0|1-01:00:40|
50656116|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:08|
50656116.batch|batch|CANCELLED|0:15|1-01:06:38|897732K
50656116.extern|extern|COMPLETED|0:0|1-01:00:37|
50656144|guacamol_10seed_stats|COMPLETED|0:0|00:39:29|
50656144.batch|batch|COMPLETED|0:0|00:39:29|1432784K
50656144.extern|extern|COMPLETED|0:0|00:39:29|
50656146|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:06|
50656146.batch|batch|CANCELLED|0:15|1-01:06:36|911272K
50656146.extern|extern|COMPLETED|0:0|1-01:00:35|
50656152|guacamol_10seed_stats|COMPLETED|0:0|00:36:09|
50656152.batch|batch|COMPLETED|0:0|00:36:09|1343892K
50656152.extern|extern|COMPLETED|0:0|00:36:09|
50656162|guacamol_10seed_stats|COMPLETED|0:0|01:21:28|
50656162.batch|batch|COMPLETED|0:0|01:21:28|1425028K
50656162.extern|extern|COMPLETED|0:0|01:21:28|
50656171|guacamol_10seed_stats|COMPLETED|0:0|00:32:10|
50656171.batch|batch|COMPLETED|0:0|00:32:10|960008K
50656171.extern|extern|COMPLETED|0:0|00:32:10|
50656180|guacamol_10seed_stats|COMPLETED|0:0|01:14:07|
50656180.batch|batch|COMPLETED|0:0|01:14:07|1345316K
50656180.extern|extern|COMPLETED|0:0|01:14:07|
50656185|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:18|
50656185.batch|batch|CANCELLED|0:15|1-01:06:48|777780K
50656185.extern|extern|COMPLETED|0:0|1-01:00:47|
50656220|guacamol_10seed_stats|COMPLETED|0:0|00:44:54|
50656220.batch|batch|COMPLETED|0:0|00:44:54|1013004K
50656220.extern|extern|COMPLETED|0:0|00:44:54|
50656251|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:08|
50656251.batch|batch|CANCELLED|0:15|1-01:06:38|613124K
50656251.extern|extern|COMPLETED|0:0|1-01:00:37|
50656258|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:25|
50656258.batch|batch|CANCELLED|0:15|1-01:06:55|628980K
50656258.extern|extern|COMPLETED|0:0|1-01:00:54|
50656288|guacamol_10seed_stats|COMPLETED|0:0|00:42:32|
50656288.batch|batch|COMPLETED|0:0|00:42:32|907708K
50656288.extern|extern|COMPLETED|0:0|00:42:32|
50656318|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:29|
50656318.batch|batch|CANCELLED|0:15|1-01:06:59|563288K
50656318.extern|extern|COMPLETED|0:0|1-01:00:58|
50656326|guacamol_10seed_stats|COMPLETED|0:0|00:28:25|
50656326.batch|batch|COMPLETED|0:0|00:28:25|1382436K
50656326.extern|extern|COMPLETED|0:0|00:28:25|
50656377|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:02|
50656377.batch|batch|CANCELLED|0:15|1-01:06:32|567004K
50656377.extern|extern|COMPLETED|0:0|1-01:00:31|
50656418|guacamol_10seed_stats|COMPLETED|0:0|00:41:27|
50656418.batch|batch|COMPLETED|0:0|00:41:27|847772K
50656418.extern|extern|COMPLETED|0:0|00:41:27|
50656420|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:08|
50656420.batch|batch|CANCELLED|0:15|1-01:06:38|565868K
50656420.extern|extern|COMPLETED|0:0|1-01:00:37|
50656427|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:05|
50656427.batch|batch|CANCELLED|0:15|1-01:06:35|541252K
50656427.extern|extern|COMPLETED|0:0|1-01:00:34|
50656429|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:28|
50656429.batch|batch|CANCELLED|0:15|1-01:06:58|542620K
50656429.extern|extern|COMPLETED|0:0|1-01:00:57|
50656430|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:24|
50656430.batch|batch|CANCELLED|0:15|1-01:06:54|609408K
50656430.extern|extern|COMPLETED|0:0|1-01:00:53|
50656451|guacamol_10seed_stats|COMPLETED|0:0|01:21:54|
50656451.batch|batch|COMPLETED|0:0|01:21:54|1343684K
50656451.extern|extern|COMPLETED|0:0|01:21:54|
50656452|guacamol_10seed_stats|TIMEOUT|0:0|1-01:00:13|
50656452.batch|batch|CANCELLED|0:15|1-01:06:43|614020K
50656452.extern|extern|COMPLETED|0:0|1-01:00:42|
50656476|guacamol_10seed_stats|COMPLETED|0:0|00:33:37|
50656476.batch|batch|COMPLETED|0:0|00:33:37|1405160K
50656476.extern|extern|COMPLETED|0:0|00:33:37|
50656479|guacamol_10seed_stats|COMPLETED|0:0|00:33:32|
50656479.batch|batch|COMPLETED|0:0|00:33:32|1300092K
50656479.extern|extern|COMPLETED|0:0|00:33:32|
50656531|guacamol_10seed_stats|COMPLETED|0:0|00:37:17|
50656531.batch|batch|COMPLETED|0:0|00:37:17|1686008K
50656531.extern|extern|COMPLETED|0:0|00:37:17|
50656535|guacamol_10seed_stats|COMPLETED|0:0|00:36:33|
50656535.batch|batch|COMPLETED|0:0|00:36:33|939192K
50656535.extern|extern|COMPLETED|0:0|00:36:33|
50656538|guacamol_10seed_stats|COMPLETED|0:0|00:38:29|
50656538.batch|batch|COMPLETED|0:0|00:38:29|1431320K
50656538.extern|extern|COMPLETED|0:0|00:38:29|
50656574|guacamol_10seed_stats|COMPLETED|0:0|00:52:34|
50656574.batch|batch|COMPLETED|0:0|00:52:34|1006476K
50656574.extern|extern|COMPLETED|0:0|00:52:34|
50656585|guacamol_10seed_stats|COMPLETED|0:0|00:53:53|
50656585.batch|batch|COMPLETED|0:0|00:53:53|1014540K
50656585.extern|extern|COMPLETED|0:0|00:53:53|
50656609|guacamol_10seed_stats|COMPLETED|0:0|00:37:47|
50656609.batch|batch|COMPLETED|0:0|00:37:47|899908K
50656609.extern|extern|COMPLETED|0:0|00:37:47|
50656620|guacamol_10seed_stats|COMPLETED|0:0|00:38:18|
50656620.batch|batch|COMPLETED|0:0|00:38:18|913536K
50656620.extern|extern|COMPLETED|0:0|00:38:18|
50656708|guacamol_10seed_stats|COMPLETED|0:0|00:43:34|
50656708.batch|batch|COMPLETED|0:0|00:43:34|899776K
50656708.extern|extern|COMPLETED|0:0|00:43:34|
50656744|guacamol_10seed_stats|COMPLETED|0:0|00:37:07|
50656744.batch|batch|COMPLETED|0:0|00:37:07|948552K
50656744.extern|extern|COMPLETED|0:0|00:37:07|
50656764|guacamol_10seed_stats|COMPLETED|0:0|01:36:41|
50656764.batch|batch|COMPLETED|0:0|01:36:41|972088K
50656764.extern|extern|COMPLETED|0:0|01:36:41|
50656883|guacamol_10seed_stats|COMPLETED|0:0|00:25:58|
50656883.batch|batch|COMPLETED|0:0|00:25:58|888768K
50656883.extern|extern|COMPLETED|0:0|00:25:58|
50656894|guacamol_10seed_stats|COMPLETED|0:0|00:49:20|
50656894.batch|batch|COMPLETED|0:0|00:49:20|829328K
50656894.extern|extern|COMPLETED|0:0|00:49:20|
50656900|guacamol_10seed_stats|COMPLETED|0:0|00:27:01|
50656900.batch|batch|COMPLETED|0:0|00:27:01|887404K
50656900.extern|extern|COMPLETED|0:0|00:27:01|
50656916|guacamol_10seed_stats|COMPLETED|0:0|01:20:07|
50656916.batch|batch|COMPLETED|0:0|01:20:07|949352K
50656916.extern|extern|COMPLETED|0:0|01:20:07|
50656965|guacamol_10seed_stats|COMPLETED|0:0|01:45:32|
50656965.batch|batch|COMPLETED|0:0|01:45:32|1002756K
50656965.extern|extern|COMPLETED|0:0|01:45:32|
50656969|guacamol_10seed_stats|COMPLETED|0:0|00:38:05|
50656969.batch|batch|COMPLETED|0:0|00:38:05|1246536K
50656969.extern|extern|COMPLETED|0:0|00:38:05|
50657006|guacamol_10seed_stats|COMPLETED|0:0|01:31:31|
50657006.batch|batch|COMPLETED|0:0|01:31:31|1416460K
50657006.extern|extern|COMPLETED|0:0|01:31:31|
50657067|guacamol_10seed_stats|COMPLETED|0:0|00:35:38|
50657067.batch|batch|COMPLETED|0:0|00:35:38|1376492K
50657067.extern|extern|COMPLETED|0:0|00:35:38|
50657073|guacamol_10seed_stats|COMPLETED|0:0|00:31:52|
50657073.batch|batch|COMPLETED|0:0|00:31:52|1274928K
50657073.extern|extern|COMPLETED|0:0|00:31:52|
50657087|guacamol_10seed_stats|COMPLETED|0:0|00:37:30|
50657087.batch|batch|COMPLETED|0:0|00:37:30|1357520K
50657087.extern|extern|COMPLETED|0:0|00:37:30|
50657117|guacamol_10seed_stats|COMPLETED|0:0|01:29:15|
50657117.batch|batch|COMPLETED|0:0|01:29:15|1456936K
50657117.extern|extern|COMPLETED|0:0|01:29:15|
50657118|guacamol_10seed_stats|COMPLETED|0:0|00:33:17|
50657118.batch|batch|COMPLETED|0:0|00:33:17|924940K
50657118.extern|extern|COMPLETED|0:0|00:33:17|
50657181|guacamol_10seed_stats|COMPLETED|0:0|00:36:17|
50657181.batch|batch|COMPLETED|0:0|00:36:17|1328404K
50657181.extern|extern|COMPLETED|0:0|00:36:17|
50657234|guacamol_10seed_stats|COMPLETED|0:0|00:43:33|
50657234.batch|batch|COMPLETED|0:0|00:43:33|1007816K
50657234.extern|extern|COMPLETED|0:0|00:43:33|
50657243|guacamol_10seed_stats|COMPLETED|0:0|00:52:06|
50657243.batch|batch|COMPLETED|0:0|00:52:06|1049124K
50657243.extern|extern|COMPLETED|0:0|00:52:06|
50657247|guacamol_10seed_stats|COMPLETED|0:0|01:18:36|
50657247.batch|batch|COMPLETED|0:0|01:18:36|907260K
50657247.extern|extern|COMPLETED|0:0|01:18:36|
50657264|guacamol_10seed_stats|COMPLETED|0:0|00:33:48|
50657264.batch|batch|COMPLETED|0:0|00:33:48|922412K
50657264.extern|extern|COMPLETED|0:0|00:33:48|
50657622|guacamol_10seed_stats|COMPLETED|0:0|00:39:57|
50657622.batch|batch|COMPLETED|0:0|00:39:57|892364K
50657622.extern|extern|COMPLETED|0:0|00:39:57|
50657652|guacamol_10seed_stats|COMPLETED|0:0|00:31:48|
50657652.batch|batch|COMPLETED|0:0|00:31:48|864844K
50657652.extern|extern|COMPLETED|0:0|00:31:48|
50657657|guacamol_10seed_stats|COMPLETED|0:0|01:05:04|
50657657.batch|batch|COMPLETED|0:0|01:05:04|921740K
50657657.extern|extern|COMPLETED|0:0|01:05:04|
50657699|guacamol_10seed_stats|COMPLETED|0:0|00:35:45|
50657699.batch|batch|COMPLETED|0:0|00:35:45|899344K
50657699.extern|extern|COMPLETED|0:0|00:35:46|
50657908|guacamol_10seed_stats|COMPLETED|0:0|00:43:10|
50657908.batch|batch|COMPLETED|0:0|00:43:10|829928K
50657908.extern|extern|COMPLETED|0:0|00:43:10|
50657951|guacamol_10seed_stats|COMPLETED|0:0|00:30:05|
50657951.batch|batch|COMPLETED|0:0|00:30:05|903180K
50657951.extern|extern|COMPLETED|0:0|00:30:06|
50658018|guacamol_10seed_stats|COMPLETED|0:0|00:34:07|
50658018.batch|batch|COMPLETED|0:0|00:34:07|927812K
50658018.extern|extern|COMPLETED|0:0|00:34:07|
50658021|guacamol_10seed_stats|COMPLETED|0:0|01:32:11|
50658021.batch|batch|COMPLETED|0:0|01:32:11|995656K
50658021.extern|extern|COMPLETED|0:0|01:32:11|
50658026|guacamol_10seed_stats|COMPLETED|0:0|01:26:56|
50658026.batch|batch|COMPLETED|0:0|01:26:56|1351148K
50658026.extern|extern|COMPLETED|0:0|01:26:57|
50658054|guacamol_10seed_stats|COMPLETED|0:0|00:50:58|
50658054.batch|batch|COMPLETED|0:0|00:50:58|1248404K
50658054.extern|extern|COMPLETED|0:0|00:50:58|
50658076|guacamol_10seed_stats|COMPLETED|0:0|00:34:42|
50658076.batch|batch|COMPLETED|0:0|00:34:42|1279352K
50658076.extern|extern|COMPLETED|0:0|00:34:43|
50658176|guacamol_10seed_stats|COMPLETED|0:0|00:33:29|
50658176.batch|batch|COMPLETED|0:0|00:33:29|1212180K
50658176.extern|extern|COMPLETED|0:0|00:33:29|
50659121|guacamol_10seed_stats|COMPLETED|0:0|00:35:08|
50659121.batch|batch|COMPLETED|0:0|00:35:08|1416544K
50659121.extern|extern|COMPLETED|0:0|00:35:08|
50659150|guacamol_10seed_stats|COMPLETED|0:0|00:42:09|
50659150.batch|batch|COMPLETED|0:0|00:42:09|1314656K
50659150.extern|extern|COMPLETED|0:0|00:42:09|
50659209|guacamol_10seed_stats|COMPLETED|0:0|00:44:35|
50659209.batch|batch|COMPLETED|0:0|00:44:35|926316K
50659209.extern|extern|COMPLETED|0:0|00:44:35|
50659218|guacamol_10seed_stats|COMPLETED|0:0|00:39:05|
50659218.batch|batch|COMPLETED|0:0|00:39:05|1350476K
50659218.extern|extern|COMPLETED|0:0|00:39:05|
50659236|guacamol_10seed_stats|COMPLETED|0:0|00:41:51|
50659236.batch|batch|COMPLETED|0:0|00:41:51|986796K
50659236.extern|extern|COMPLETED|0:0|00:41:51|
50659297|guacamol_10seed_stats|COMPLETED|0:0|00:53:43|
50659297.batch|batch|COMPLETED|0:0|00:53:43|1027004K
50659297.extern|extern|COMPLETED|0:0|00:53:43|
50659315|guacamol_10seed_stats|COMPLETED|0:0|00:39:36|
50659315.batch|batch|COMPLETED|0:0|00:39:36|885784K
50659315.extern|extern|COMPLETED|0:0|00:39:36|
50659399|guacamol_10seed_stats|COMPLETED|0:0|01:12:46|
50659399.batch|batch|COMPLETED|0:0|01:12:46|933396K
50659399.extern|extern|COMPLETED|0:0|01:12:46|
50659413|guacamol_10seed_stats|COMPLETED|0:0|00:42:16|
50659413.batch|batch|COMPLETED|0:0|00:42:16|874116K
50659413.extern|extern|COMPLETED|0:0|00:42:16|
50659456|guacamol_10seed_stats|COMPLETED|0:0|00:34:21|
50659456.batch|batch|COMPLETED|0:0|00:34:21|872408K
50659456.extern|extern|COMPLETED|0:0|00:34:21|
50659465|guacamol_10seed_stats|COMPLETED|0:0|00:30:10|
50659465.batch|batch|COMPLETED|0:0|00:30:10|905192K
50659465.extern|extern|COMPLETED|0:0|00:30:10|
50659557|guacamol_10seed_stats|COMPLETED|0:0|00:29:57|
50659557.batch|batch|COMPLETED|0:0|00:29:57|909300K
50659557.extern|extern|COMPLETED|0:0|00:29:57|
